first_name,second_name,year,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Cheikhou,Kouyaté,2022-2023,1,0,30,787,20,72.1,141.6,79,2,123,29.2,2,0,3,0.1,44,MID
Emmanuel,Dennis,2022-2023,2,2,38,691,17,96.8,166.4,286,3,115,54.6,1,0,3,0.1,56,FWD
Renan Augusto,Lodi dos Santos,2022-2023,0,1,45,1816,42,142.9,269.4,79,3,304,49.3,4,0,5,0.2,43,DEF
Loïc,Badé,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF
Serge,Aurier,2022-2023,1,0,59,1520,24,161.1,362.8,108,8,281,63.3,5,0,2,0.3,43,DEF
Dale,Taylor,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Jordan,Smith,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Gustavo Henrique,Furtado Scarpa,2022-2023,0,0,5,177,1,17.3,15,25,0,16,5.7,0,0,1,0,47,MID
Danilo,dos Santos de Oliveira,2022-2023,1,1,23,634,11,72.1,136.6,57,2,92,26.5,0,0,1,0,45,MID
Keylor,Navas,2022-2023,0,0,28,1170,25,0,291.8,0,3,194,29.1,1,0,2,0.9,45,GK
Felipe Augusto,de Almeida Monteiro,2022-2023,0,1,14,1069,25,58.2,295,98,0,171,45.2,0,0,3,0,45,DEF
André,Ayew,2022-2023,0,0,10,269,8,6.3,27.2,53,0,26,8.7,0,0,0,0,50,MID
George,Shelvey,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
Ainsley,Maitland-Niles,2022-2023,0,1,33,1209,23,127.6,247.2,19,0,178,39.1,3,0,3,0,48,MID
Roméo,Lavia,2022-2023,1,0,46,1804,36,181.5,280.2,37,0,253,50.2,4,0,7,0.2,45,MID
Theo,Walcott,2022-2023,2,1,39,810,17,129.2,142.6,153,1,99,42.3,2,0,1,0.1,48,MID
Alex,McCarthy,2022-2023,0,0,2,90,1,0,0,0,0,13,0,0,0,0,0.1,43,GK
Oriol,Romeu Vidal,2022-2023,0,0,2,74,4,3.8,6.2,2,0,9,1.2,0,0,0,0,48,MID
Nathan,Redmond,2022-2023,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,53,MID
Stuart,Armstrong,2022-2023,1,1,42,1129,25,221.1,145,200,2,156,56.8,1,0,5,0.1,47,MID
Mohamed,Elyounoussi,2022-2023,0,1,52,1993,38,280.4,240.8,345,0,193,86.3,2,0,3,0.1,51,MID
